State,ID,BAC_08plus_2011,BAC_01plus_2011,TOTAL_2011,BAC_08plus_2010,BAC_01plus_2010,TOTAL_2010,BAC_08plus_2009,BAC_01plus_2009,TOTAL_2009,BAC_08plus_2008,BAC_01plus_2008,TOTAL_2008,BAC_08plus_2007,BAC_01plus_2007,TOTAL_2007,BAC_08plus_2006,BAC_01plus_2006,TOTAL_2006
Alabama,1,240,286,1209,263,295,1161,253,303,1137,295,345,1289,351,406,1470,344,405,1583
Alaska,2,18,24,91,16,17,75,18,22,89,18,25,91,23,30,116,21,24,108
Arizona,4,194,236,1092,183,219,978,199,247,980,238,297,1243,305,375,1430,359,444,1720
Arkansas,5,152,184,732,161,182,743,153,188,780,159,197,778,166,210,857,176,219,885
California,6,719,840,3749,733,863,3651,850,1025,4193,941,1112,4710,1053,1306,5522,1147,1380,5774
Colorado,8,147,161,587,120,135,599,152,173,653,161,186,712,159,189,789,164,196,721
Connecticut,9,87,95,291,118,133,421,91,109,302,89,110,404,102,122,403,113,130,452
Delaware,10,42,46,141,37,43,136,41,45,154,42,48,153,41,51,159,39,44,206
District of Columbia,11,5,9,29,5,9,28,10,11,37,8,14,43,11,15,48,11,14,49
Florida,12,672,798,3281,635,732,3426,719,862,3486,829,995,4223,850,1032,4552,868,1053,4813
Georgia,13,259,307,1684,287,338,1682,320,382,1755,368,433,2059,409,488,2296,421,507,2422
Hawaii,15,43,50,140,42,47,152,49,56,139,39,47,139,43,62,171,57,71,203
Idaho,16,48,53,214,59,69,253,57,63,287,77,89,302,63,79,289,80,93,332
Illinois,17,257,303,1246,281,354,1311,288,362,1296,320,388,1433,411,491,1709,415,518,1729
Indiana,18,200,234,1042,191,217,1091,196,237,991,188,228,1126,206,245,1238,236,280,1251
Iowa,19,81,98,473,76,91,544,94,114,501,79,101,570,99,124,578,104,123,582
Kansas,20,100,124,541,154,181,571,118,139,498,130,149,495,103,128,622,120,144,627
Kentucky,21,151,178,999,158,194,1037,181,221,1110,175,205,1100,202,235,1187,200,236,1263
Louisiana,22,217,247,930,210,263,916,262,333,1037,309,374,1172,341,415,1302,336,403,1334
Maine,23,23,38,169,34,42,203,46,53,236,36,42,204,60,68,232,47,63,246
Maryland,24,153,184,686,142,177,683,155,190,779,135,176,815,162,205,848,172,221,936
Massachusetts,25,114,131,454,113,141,403,99,127,447,114,143,442,149,188,570,140,170,568
Michigan,26,238,278,1227,220,275,1311,226,277,1241,270,323,1409,280,341,1537,315,377,1514
Minnesota,27,99,120,503,111,122,592,97,119,551,126,156,639,162,192,792,143,170,684
Mississippi,28,146,159,807,221,245,799,213,244,857,232,284,985,296,342,1117,309,348,1156
Missouri,29,236,276,990,251,314,1141,277,331,1141,288,340,1246,312,374,1325,361,450,1461
Montana,30,74,82,262,64,73,218,74,83,271,81,93,284,98,115,323,92,104,293
Nebraska,31,43,51,257,44,53,249,64,84,327,51,67,282,71,92,356,64,80,330
Nevada,32,65,85,328,66,85,346,65,88,336,101,117,444,110,135,514,131,156,618
New Hampshire,33,26,28,120,38,47,168,27,33,144,43,52,194,31,42,181,45,48,179
New Jersey,34,189,225,872,149,187,793,138,176,825,152,194,802,190,247,998,211,274,1078
New Mexico,35,89,101,419,100,109,445,102,115,454,93,105,445,114,133,496,125,145,572
New York,36,297,367,1530,351,413,1559,301,374,1519,333,409,1711,353,441,1843,408,505,1965
North Carolina,37,346,399,1670,362,423,1778,334,397,1770,402,471,1871,457,548,2217,395,468,2106
North Dakota,38,56,59,187,42,47,145,48,52,168,44,51,137,46,51,120,39,45,134
Ohio,39,300,344,1431,322,387,1504,298,355,1424,328,392,1649,365,450,1738,373,448,1736
Oklahoma,40,204,232,900,209,237,893,211,242,941,215,242,1008,190,214,997,188,227,1013
Oregon,41,91,109,434,64,84,415,109,132,487,117,140,519,135,165,584,133,159,600
Pennsylvania,42,383,440,1771,395,460,1775,368,435,1722,473,565,2019,478,563,2159,467,545,2073
Rhode Island,44,24,26,82,26,30,84,32,38,100,22,25,81,20,26,78,28,34,99
South Carolina,45,307,372,1086,350,406,1081,355,406,1152,377,443,1164,443,516,1412,407,472,1399
South Dakota,46,26,30,136,35,47,184,44,50,143,35,42,147,41,49,172,65,75,236
Tennessee,47,237,287,1332,275,329,1380,281,330,1302,284,344,1398,352,417,1641,382,451,1719
Texas,48,1186,1363,4128,1238,1441,4117,1197,1421,4210,1227,1454,4708,1247,1469,4718,1312,1527,4741
Utah,49,47,57,336,41,46,302,38,51,345,48,56,351,47,56,372,46,54,364
Vermont,50,19,22,66,15,21,87,24,27,97,11,14,102,21,26,85,23,25,105
Virginia,51,207,254,1007,198,233,989,230,267,966,266,328,1089,286,358,1347,275,318,1243
Washington,53,144,169,596,157,183,617,190,218,633,169,209,709,181,219,786,205,255,862
West Virginia,54,85,102,463,87,101,406,104,123,450,110,121,478,124,151,545,97,116,546
Wisconsin,55,180,212,785,199,238,813,193,235,726,199,240,855,292,350,1001,291,348,962
Wyoming,56,35,38,163,52,57,185,42,49,148,54,59,187,47,52,177,55,65,254
